,Var1,Var2,value
427,STnc4070,Dickeya,NA
428,STnc290,Dickeya,NA
429,STnc3200,Dickeya,NA
430,STnc2050,Dickeya,NA
431,STnc500,Dickeya,NA
432,STnc3760,Dickeya,NA
433,STnc1700,Dickeya,NA
434,IsrP,Dickeya,NA
435,STnc3530,Dickeya,NA
436,STnc1150,Dickeya,NA
437,STnc3630,Dickeya,NA
438,STnc3890,Dickeya,NA
439,STnc1760,Dickeya,NA
440,STnc380,Dickeya,NA
441,STnc1890,Dickeya,NA
442,STnc3280,Dickeya,NA
443,IsrD,Dickeya,NA
444,STnc4110,Dickeya,NA
445,IsrH_1_2,Dickeya,NA
446,STnc070,Dickeya,NA
447,STnc3180,Dickeya,NA
448,STnc3500,Dickeya,NA
449,STnc3420,Dickeya,NA
450,STnc3990,Dickeya,NA
451,STnc3030,Dickeya,NA
452,STnc3740,Dickeya,NA
453,STnc950,Dickeya,NA
454,STnc4260,Dickeya,NA
455,STnc470,Dickeya,NA
456,STnc310,Dickeya,NA
457,STnc1990,Dickeya,NA
458,STnc3330,Dickeya,NA
459,IsrO,Dickeya,NA
460,STnc760,Dickeya,NA
461,STnc1690,Dickeya,NA
462,IsrQ,Dickeya,NA
463,STnc4210,Dickeya,NA
464,STnc3230,Dickeya,NA
465,STnc440,Dickeya,NA
466,STnc3750,Dickeya,NA
467,sRNA1,Dickeya,NA
468,STnc2030,Dickeya,NA
469,InvR,Dickeya,NA
470,STnc890,Dickeya,NA
471,STnc1600,Dickeya,NA
472,STnc1880,Dickeya,NA
473,STnc3620,Dickeya,NA
474,STnc3580,Dickeya,NA
475,STnc1870,Dickeya,NA
476,STnc3050,Dickeya,NA
477,STnc3090,Dickeya,NA
478,STnc4160,Dickeya,NA
479,STnc340,Dickeya,NA
480,STnc980,Dickeya,NA
481,STnc3610,Dickeya,NA
482,STnc3350,Dickeya,NA
483,sRNA9,Dickeya,NA
484,STnc3640,Dickeya,NA
485,RseX,Dickeya,NA
486,STnc3970,Dickeya,NA
487,STnc1010,Dickeya,NA
488,STnc3480,Dickeya,NA
489,STnc150,Dickeya,NA
490,STnc3830,Dickeya,NA
491,STnc740,Dickeya,NA
492,STnc1510,Dickeya,NA
493,STnc540,Dickeya,NA
494,STnc1500,Dickeya,NA
495,STnc1650,Dickeya,NA
496,STnc2110,Dickeya,NA
497,STnc3010,Dickeya,NA
498,RyjB,Dickeya,NA
499,STnc3040,Dickeya,NA
500,STnc810,Dickeya,NA
501,IsrK,Dickeya,77
502,RybD,Dickeya,NA
503,STnc1210,Dickeya,NA
504,STnc1470,Dickeya,NA
505,STnc3150,Dickeya,NA
506,STnc3340,Dickeya,NA
507,STnc3720,Dickeya,NA
508,STnc1200,Dickeya,75
509,STnc480,Dickeya,NA
510,STnc1160,Dickeya,80.3333333333333
511,STnc350,Dickeya,NA
512,STnc4000,Dickeya,NA
513,STnc3250,Dickeya,NA
514,STnc3570,Dickeya,NA
515,STnc4170,Dickeya,74.6666666666667
516,STnc3730,Dickeya,NA
517,RydC,Dickeya,NA
518,STnc1030,Dickeya,67.3333333333333
519,STnc1060,Dickeya,NA
520,STnc490,Dickeya,95.3333333333333
521,STnc1180,Dickeya,NA
522,RygD,Dickeya,NA
523,RygC,Dickeya,NA
524,STnc710,Dickeya,NA
525,SraB,Dickeya,NA
526,STnc520,Dickeya,NA
527,STnc1110,Dickeya,NA
528,STnc3390,Dickeya,NA
529,STnc630,Dickeya,NA
530,IsrN,Dickeya,67.5
531,RyeC,Dickeya,NA
532,RydB,Dickeya,NA
533,STnc2040,Dickeya,NA
534,STnc840,Dickeya,NA
535,DapZ,Dickeya,NA
536,STnc2070,Dickeya,NA
537,sRNA12,Dickeya,NA
538,STnc1420,Dickeya,NA
539,STnc1460,Dickeya,NA
540,STnc3160,Dickeya,NA
541,sRNA10,Dickeya,NA
542,MgrR,Dickeya,NA
543,RyfA,Dickeya,NA
544,STnc920,Dickeya,NA
545,MicC,Dickeya,NA
546,STnc1380,Dickeya,85.6666666666667
547,STnc1560,Dickeya,NA
548,tp2,Dickeya,NA
549,STnc3130,Dickeya,NA
550,C0664,Dickeya,NA
551,STnc4010,Dickeya,NA
552,STnc1640,Dickeya,NA
553,STnc3870,Dickeya,67.5
554,RybA,Dickeya,NA
555,IstR‑1_2,Dickeya,NA
556,STnc3000,Dickeya,NA
557,SraL,Dickeya,NA
558,STnc850,Dickeya,NA
559,STnc4180,Dickeya,NA
560,STnc1670,Dickeya,NA
561,STnc1860,Dickeya,NA
562,STnc2100,Dickeya,NA
563,STnc1040,Dickeya,94.3333333333333
564,OxyS,Dickeya,NA
565,MicF,Dickeya,NA
566,DsrA,Dickeya,NA
567,STnc200,Dickeya,NA
568,STnc880,Dickeya,NA
569,tpke70,Dickeya,NA
570,STnc1340,Dickeya,NA
571,STnc3850,Dickeya,NA
572,ChiX,Dickeya,NA
573,STnc2180,Dickeya,NA
574,SroC,Dickeya,65
575,STnc4080,Dickeya,NA
576,OmrB,Dickeya,NA
577,t44,Dickeya,NA
578,CyaR,Dickeya,72.3333333333333
579,RyhB‑1,Dickeya,NA
580,STnc2130,Dickeya,NA
581,RprA,Dickeya,NA
582,ArcZ,Dickeya,62.2
583,SraA,Dickeya,63.5
584,tpke11,Dickeya,73
585,SraF,Dickeya,72.8333333333333
586,STnc800,Dickeya,62.6666666666667
587,STnc790,Dickeya,67
588,OmrA,Dickeya,78.1666666666667
589,CsrB,Dickeya,54
590,FnrS,Dickeya,93.1666666666667
591,GlmZ,Dickeya,71.8333333333333
592,MicA,Dickeya,79
593,STnc870,Dickeya,85.3333333333333
594,SdsR,Dickeya,84.5
595,SroG,Dickeya,82.3333333333333
596,SraG,Dickeya,66.5
597,STnc700,Dickeya,85
598,Spf,Dickeya,93.3333333333333
599,GlmY,Dickeya,62.8333333333333
600,GcvB,Dickeya,78.1666666666667
601,STnc3800,Pectobacterium,NA
602,STnc1310,Pectobacterium,NA
603,STnc1280,Pectobacterium,NA
604,STnc2080,Pectobacterium,NA
605,STnc1920,Pectobacterium,NA
606,STnc1740,Pectobacterium,NA
607,STnc2160,Pectobacterium,NA
608,STnc400,Pectobacterium,NA
609,STnc4130,Pectobacterium,NA
610,STnc3170,Pectobacterium,NA
611,STnc1400,Pectobacterium,NA
612,STnc4100,Pectobacterium,NA
613,IsrB‑1,Pectobacterium,NA
614,IsrB‑2,Pectobacterium,NA
615,STnc1480,Pectobacterium,NA
616,STnc1080,Pectobacterium,NA
617,STnc1390,Pectobacterium,NA
618,IsrF,Pectobacterium,NA
619,STnc3300,Pectobacterium,NA
620,IsrJ,Pectobacterium,77
621,STnc3060,Pectobacterium,NA
622,IsrC,Pectobacterium,NA
623,STnc780,Pectobacterium,NA
624,STnc750,Pectobacterium,NA
625,STnc1710,Pectobacterium,NA
626,STnc3920,Pectobacterium,NA
627,STnc4070,Pectobacterium,NA
628,STnc290,Pectobacterium,NA
629,STnc3200,Pectobacterium,NA
630,STnc2050,Pectobacterium,NA
631,STnc500,Pectobacterium,NA
632,STnc3760,Pectobacterium,NA
633,STnc1700,Pectobacterium,NA
634,IsrP,Pectobacterium,NA
635,STnc3530,Pectobacterium,NA
636,STnc1150,Pectobacterium,NA
637,STnc3630,Pectobacterium,NA
638,STnc3890,Pectobacterium,NA
639,STnc1760,Pectobacterium,NA
640,STnc380,Pectobacterium,NA
641,STnc1890,Pectobacterium,NA
642,STnc3280,Pectobacterium,NA
643,IsrD,Pectobacterium,NA
644,STnc4110,Pectobacterium,NA
645,IsrH_1_2,Pectobacterium,NA
646,STnc070,Pectobacterium,NA
647,STnc3180,Pectobacterium,NA
648,STnc3500,Pectobacterium,NA
649,STnc3420,Pectobacterium,NA
650,STnc3990,Pectobacterium,NA
651,STnc3030,Pectobacterium,NA
652,STnc3740,Pectobacterium,NA
653,STnc950,Pectobacterium,NA
654,STnc4260,Pectobacterium,NA
655,STnc470,Pectobacterium,NA
656,STnc310,Pectobacterium,NA
657,STnc1990,Pectobacterium,NA
658,STnc3330,Pectobacterium,NA
659,IsrO,Pectobacterium,NA
660,STnc760,Pectobacterium,NA
661,STnc1690,Pectobacterium,NA
662,IsrQ,Pectobacterium,NA
663,STnc4210,Pectobacterium,NA
664,STnc3230,Pectobacterium,NA
665,STnc440,Pectobacterium,NA
666,STnc3750,Pectobacterium,NA
667,sRNA1,Pectobacterium,NA
668,STnc2030,Pectobacterium,NA
669,InvR,Pectobacterium,NA
670,STnc890,Pectobacterium,NA
671,STnc1600,Pectobacterium,NA
672,STnc1880,Pectobacterium,NA
673,STnc3620,Pectobacterium,NA
674,STnc3580,Pectobacterium,NA
675,STnc1870,Pectobacterium,NA
676,STnc3050,Pectobacterium,NA
677,STnc3090,Pectobacterium,NA
