"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IYO_003545",100.282638793839,-0.961237981630488,0.51724163205687,-1.85839252306125,0.0631132932976379,0.10243583345769
"IYO_003550",228.28994250993,-0.775482359428791,0.477569388785538,-1.62381085898501,0.104416181785061,0.158091860865096
"IYO_003555",177.966059008072,-0.986416550080644,0.467025618449067,-2.11212514070729,0.0346757171534304,0.0606377707814376
"IYO_003560",186.659923788141,-0.471242992106698,0.447550284754347,-1.05293864881654,0.29236911123075,0.373990288321496
"IYO_003565",202.8613238454,-1.27714333724317,0.312916631567828,-4.08141724792386,4.4761914993776e-05,0.000158808191297005
"IYO_003570",127.557366605599,-1.289878815919,0.542598494137169,-2.37722520400677,0.0174434346836213,0.033432770858196
"IYO_003580",318.121638692424,0.313965358533033,0.303056554438853,1.03599593519559,0.300204038861611,0.382454422702145
"IYO_003585",704.281191879421,1.84821671725519,0.349520454079051,5.28786425997598,1.23752754217137e-07,7.22760814539243e-07
"IYO_003590",1046.71666056177,-0.200016058155387,0.216963543797079,-0.921887864914564,0.356587069571222,0.442557495988009
"IYO_003595",479.318062817014,-0.0931034275778607,0.151416849697743,-0.614881552242783,0.538632946620554,0.623776199580283
"IYO_003600",79.9363091203314,-1.61722072174142,0.241827122312953,-6.68750761400759,2.27003404789208e-11,2.34103288740157e-10
"IYO_003605",35.4007375722693,0.392447349809368,0.294430115581139,1.33290492052678,0.182563007623875,0.250051569425025
"IYO_003610",2527.48857783105,-0.761672727361547,0.164068503502654,-4.6424067453582,3.44374082212889e-06,1.52452361965934e-05
"IYO_003615",89.4598333452613,0.478662295252583,0.258051230997539,1.85491188475341,0.063608810543062,0.103067535077714
"IYO_003620",70.3466264429287,0.0222328179638484,0.211538460989492,0.105100594283669,0.916295987746898,0.939554690767444
"IYO_003625",0.769099071296542,-1.94072368875631,3.39227759550005,-0.572100494172628,0.567253894369725,0.649934194120286
"IYO_003630",19.5832282011666,-2.21362910878072,0.55197586177363,-4.01037302911726,6.06228942029623e-05,0.000209159771992071
"IYO_003635",113.897659335201,-0.965645578309895,0.242853827557051,-3.97624195600971,7.00128924009413e-05,0.000237798971676461
"IYO_003640",704.861510078419,-0.680617655890412,0.392630237760321,-1.73348252486323,0.0830099408798559,0.129629215059898
